malicious_package,target_package,ecosystem,registry,classification,source
streamserch,streamsearch,npm,https://npmjs.com,omission,ossf/malicious-packages
chokader,chokidar,npm,https://npmjs.com,replacement,ossf/malicious-packages
deezcord.js,discord.js,npm,https://npmjs.com,replacement,ossf/malicious-packages
dezcord.js,discord.js,npm,https://npmjs.com,omission,ossf/malicious-packages
dizcordjs,discord.js,npm,https://npmjs.com,replacement,ossf/malicious-packages
ethesjs,ethers,npm,https://npmjs.com,omission,ossf/malicious-packages
ethetsjs,ethers,npm,https://npmjs.com,replacement,ossf/malicious-packages
etherdjs,ethers,npm,https://npmjs.com,replacement,ossf/malicious-packages
node-mongoose-orm,mongoose,npm,https://npmjs.com,addition,ossf/malicious-packages
eslint-config-airbnb-compat,eslint-config-airbnb,npm,https://npmjs.com,addition,ossf/malicious-packages
rustdecimal,rust_decimal,crates.io,https://crates.io,delimiter,ossf/malicious-packages
github.com/boltdb-go/bolt,github.com/boltdb/bolt,go,https://pkg.go.dev,delimiter,ossf/malicious-packages
github.com/belatedplanet/hypert,github.com/areknoster/hypert,go,https://pkg.go.dev,other,ossf/malicious-packages
github.com/shadowybulk/hypert,github.com/areknoster/hypert,go,https://pkg.go.dev,other,ossf/malicious-packages
github.com/shallowmulti/hypert,github.com/areknoster/hypert,go,https://pkg.go.dev,other,ossf/malicious-packages
github.com/thankfulmai/hypert,github.com/areknoster/hypert,go,https://pkg.go.dev,other,ossf/malicious-packages
github.com/vainreboot/layout,github.com/loov/layout,go,https://pkg.go.dev,other,ossf/malicious-packages
github.com/ornatedoctrin/layout,github.com/loov/layout,go,https://pkg.go.dev,other,ossf/malicious-packages
github.com/utilizedsun/layout,github.com/loov/layout,go,https://pkg.go.dev,other,ossf/malicious-packages
actons/checkout,actions/checkout,github_actions,https://github.com,omission,orca-security
circelci/checkout,circleci/checkout,github_actions,https://github.com,transposition,orca-security
action/checkout,actions/checkout,github_actions,https://github.com,omission,orca-security
aws-action/configure-aws-credentials,aws-actions/configure-aws-credentials,github_actions,https://github.com,omission,orca-security
loadsh,lodash,npm,https://npmjs.com,transposition,spellbound-paper
reequest,request,npm,https://npmjs.com,repetition,spellbound-paper
comander,commander,npm,https://npmjs.com,omission,spellbound-paper
require-port,requires-port,npm,https://npmjs.com,omission,spellbound-paper
axois,axios,npm,https://npmjs.com,transposition,spellbound-paper
import-mysql,mysql-import,npm,https://npmjs.com,word_order,spellbound-paper
signqle,signale,npm,https://npmjs.com,replacement,spellbound-paper
1odash,lodash,npm,https://npmjs.com,homoglyph,spellbound-paper
uglify.js,uglify-js,npm,https://npmjs.com,delimiter,spellbound-paper
underscore.string-2,underscore.string,npm,https://npmjs.com,addition,spellbound-paper
asimplemde,simplemde,npm,https://npmjs.com,addition,spellbound-paper
zs-sha3,js-sha3,npm,https://npmjs.com,replacement,spellbound-paper
ns-sha3,js-sha3,npm,https://npmjs.com,replacement,spellbound-paper
jsmsha3,js-sha3,npm,https://npmjs.com,omission,spellbound-paper
js-shas,js-sha3,npm,https://npmjs.com,replacement,spellbound-paper
js-sha7,js-sha3,npm,https://npmjs.com,replacement,spellbound-paper
